Timestamp,Open price,Close price,High price,Low price,Volume
2023-02-21 13:45:00,24736.5,24714.5,24760,24690,4638180
2023-02-21 14:00:00,24714.5,24675,24736.5,24666,4187422
2023-02-21 14:15:00,24675,24763.5,24773.5,24672,7938821
2023-02-21 14:30:00,24763.5,24701.5,24773.5,24678,8841711
2023-02-21 14:45:00,24701.5,24586,24714.5,24577.5,12592058
2023-02-21 15:00:00,24586,24627,24650.5,24468,25162407
2023-02-21 15:15:00,24627,24614,24629.5,24537.5,6959142
2023-02-21 15:30:00,24614,24615.5,24677.5,24598,8464531
2023-02-21 15:45:00,24615.5,24645,24661.5,24615,1905499
2023-02-21 16:00:00,24645,24669,24671.5,24633,4223054
2023-02-21 16:15:00,24669,24655,24701.5,24622,3778706
2023-02-21 16:30:00,24655,24633.5,24710,24630,4425666
2023-02-21 16:45:00,24633.5,24578,24660,24521,11615655
2023-02-21 17:00:00,24578,24622,24630,24562,4285466
2023-02-21 17:15:00,24622,24652.5,24674,24615.5,8322289
2023-02-21 17:30:00,24652.5,24758.5,24799,24614,20865781
2023-02-21 17:45:00,24758.5,24698,24758.5,24661.5,9257469
2023-02-21 18:00:00,24698,24610.5,24732,24585,9365029
2023-02-21 18:15:00,24610.5,24523,24610.5,24355,59814290
2023-02-21 18:30:00,24523,24601,24638,24490.5,10668045
2023-02-21 18:45:00,24601,24572.5,24650,24553.5,12800679
2023-02-21 19:00:00,24572.5,24468.5,24601,24391.5,20463429
2023-02-21 19:15:00,24468.5,24388,24483.5,24300.5,39548659
2023-02-21 19:30:00,24388,24423,24457,24284,19666405
2023-02-21 19:45:00,24423,24413.5,24470.5,24380,16355102
2023-02-21 20:00:00,24413.5,24393,24459,24391,7840739
2023-02-21 20:15:00,24393,24412.5,24450,24383,5113067
2023-02-21 20:30:00,24412.5,24494,24519,24411,16373539
2023-02-21 20:45:00,24494,24681.5,24684.5,24491,20149191
2023-02-21 21:00:00,24681.5,24683.5,24779,24605.5,38795005
2023-02-21 21:15:00,24683.5,24655,24706.5,24638,9256704
2023-02-21 21:30:00,24655,24614.5,24671,24565,15052646
2023-02-21 21:45:00,24614.5,24701.5,24754,24607.5,21678038
2023-02-21 22:00:00,24701.5,24670,24701.5,24640,9427369
2023-02-21 22:15:00,24670,24659,24670,24578.5,11412339
2023-02-21 22:30:00,24659,24631,24722,24576.5,10188333
2023-02-21 22:45:00,24631,24620.5,24648,24604,2719875
2023-02-21 23:00:00,24620.5,24580.5,24657.5,24573,5077907
2023-02-21 23:15:00,24580.5,24474.5,24607,24464,15382899
2023-02-21 23:30:00,24474.5,24493.5,24541.5,24440.5,8371134
2023-02-21 23:45:00,24493.5,24480.5,24506.5,24457,5823273
2023-02-22 00:00:00,24480.5,24392.5,24550.5,24335,32165331
2023-02-22 00:15:00,24392.5,24240,24408,24130.5,65267185
2023-02-22 00:30:00,24240,24287.5,24350,24226,14312442
2023-02-22 00:45:00,24287.5,24209.5,24302,24170.5,15122260
2023-02-22 01:00:00,24209.5,24267,24338,24168,11629358
2023-02-22 01:15:00,24267,24305.5,24334.5,24251.5,5785397
2023-02-22 01:30:00,24305.5,24363.5,24380.5,24294.5,5771122
2023-02-22 01:45:00,24363.5,24399.5,24439,24346.5,12335144
2023-02-22 02:00:00,24399.5,24407.5,24424.5,24366.5,2486196
2023-02-22 02:15:00,24407.5,24367.5,24410,24352.5,4220488
2023-02-22 02:30:00,24367.5,24386.5,24409.5,24367.5,2976435
2023-02-22 02:45:00,24386.5,24469.5,24479,24382.5,5591447
2023-02-22 03:00:00,24469.5,24453.5,24487.5,24434,4121617
2023-02-22 03:15:00,24453.5,24433.5,24479.5,24415.5,4167754
2023-02-22 03:30:00,24433.5,24371.5,24436,24371.5,3274895
2023-02-22 03:45:00,24371.5,24430.5,24430.5,24283,8138592
2023-02-22 04:00:00,24430.5,24385,24452,24370.5,4226239
2023-02-22 04:15:00,24385,24380.5,24435,24358.5,3257999
2023-02-22 04:30:00,24380.5,24338.5,24405.5,24279.5,5523326
2023-02-22 04:45:00,24338.5,24187.5,24340,24083.5,43008040
2023-02-22 05:00:00,24187.5,24065.5,24188.5,23950.5,50183582
2023-02-22 05:15:00,24065.5,24039.5,24145.5,24013.5,29257349
2023-02-22 05:30:00,24039.5,24157,24167,23853,58600796
2023-02-22 05:45:00,24157,24180,24207,24133.5,8532214
2023-02-22 06:00:00,24180,24222,24280.5,24134.5,9169121
2023-02-22 06:15:00,24222,24227,24239.5,24175,3775578
2023-02-22 06:30:00,24227,24162,24228.5,24157,2615010
2023-02-22 06:45:00,24162,24206.5,24258.5,24162,4379958
2023-02-22 07:00:00,24206.5,24214.5,24221,24176.5,3692280
2023-02-22 07:15:00,24214.5,24159,24228,24156,2576977
2023-02-22 07:30:00,24159,24104,24165.5,24041,16523231
2023-02-22 07:45:00,24104,24175,24184,24041,7087218
2023-02-22 08:00:00,24175,24116,24187.5,24084.5,6182471
2023-02-22 08:15:00,24116,24030.5,24131,24005.5,7954451
2023-02-22 08:30:00,24030.5,24049.5,24100,24022,6101996
2023-02-22 08:45:00,24049.5,24105.5,24121,24039.5,2731409
2023-02-22 09:00:00,24105.5,24091.5,24127.5,24083.5,3873083
2023-02-22 09:15:00,24091.5,24045.5,24097,24028.5,5160574
2023-02-22 09:30:00,24045.5,23990.5,24051,23960,8971723
2023-02-22 09:45:00,23990.5,23949.5,24049,23925,8936980
2023-02-22 10:00:00,23949.5,24010,24024.5,23935.5,7800221
2023-02-22 10:15:00,24010,23993.5,24095,23989,4333609
2023-02-22 10:30:00,23993.5,24033.5,24056,23980,11512425
2023-02-22 10:45:00,24033.5,24063,24109,24027,5952472
2023-02-22 11:00:00,24063,24003.5,24069.5,23991.5,6349352
2023-02-22 11:15:00,24003.5,23991.5,24036.5,23952.5,11470453
2023-02-22 11:30:00,23991.5,23872,23997,23860.5,14887039
2023-02-22 11:45:00,23872,23969,23976.5,23862,10425914
2023-02-22 12:00:00,23969,23998,24003.5,23949.5,3685215
2023-02-22 12:15:00,23998,24093.5,24102,23981,6060795
2023-02-22 12:30:00,24093.5,24117.5,24122,24018.5,12884153
2023-02-22 12:45:00,24117.5,24117,24180,24105,10955171
2023-02-22 13:00:00,24117,24102.5,24155,24102.5,6583968
2023-02-22 13:15:00,24102.5,24113.5,24156.5,24096.5,4401833
2023-02-22 13:30:00,24113.5,24177,24210,24104.5,5477274
2023-02-22 13:45:00,24177,24197,24211,24168.5,3257259
2023-02-22 14:00:00,24197,24169,24216.5,24168.5,3925349
2023-02-22 14:15:00,24169,24110,24229.5,24104,6547715
2023-02-22 14:30:00,24110,24147.5,24154,24056,7726239
2023-02-22 14:45:00,24147.5,24180,24185,24101.5,4433861
2023-02-22 15:00:00,24180,24188.5,24206,24158,3118143
2023-02-22 15:15:00,24188.5,24229,24255,24179.5,7282857
2023-02-22 15:30:00,24229,24184.5,24229,24180,2777322
2023-02-22 15:45:00,24184.5,24150,24200,24106.5,4928263
2023-02-22 16:00:00,24150,24031.5,24163.5,23971,18714413
2023-02-22 16:15:00,24031.5,24087.5,24138.5,24004.5,7921075
2023-02-22 16:30:00,24087.5,24131,24139,24050,2896474
2023-02-22 16:45:00,24131,24127,24155,24112,1673904
2023-02-22 17:00:00,24127,24023.5,24128,23996,6656375
2023-02-22 17:15:00,24023.5,23991,24038,23955.5,4871281
2023-02-22 17:30:00,23991,24058,24084,23988,8998574
2023-02-22 17:45:00,24058,23951,24089,23933,10925793
2023-02-22 18:00:00,23951,23831.5,24029,23680,74020044
2023-02-22 18:15:00,23831.5,23756.5,23861,23650,43862100
2023-02-22 18:30:00,23756.5,23752,23788.5,23691,17941313
2023-02-22 18:45:00,23752,23732.5,23799,23714,18706684
2023-02-22 19:00:00,23732.5,23708,23774.5,23704.5,5584710
2023-02-22 19:15:00,23708,23700.5,23755,23627.5,8543075
2023-02-22 19:30:00,23700.5,23714,23725,23648,15935229
